    PID RUSER    USER     CMD
      1 root     root     /usr/lib/systemd/systemd --switched-root --system --deserialize=55 rhgb
      2 root     root     [kthreadd]
      3 root     root     [pool_workqueue_release]
      4 root     root     [kworker/R-rcu_gp]
      5 root     root     [kworker/R-sync_wq]
      6 root     root     [kworker/R-kvfree_rcu_reclaim]
      7 root     root     [kworker/R-slub_flushwq]
      8 root     root     [kworker/R-netns]
     10 root     root     [kworker/0:0H-events_highpri]
     12 root     root     [kworker/u8:0-events_unbound]
     13 root     root     [kworker/R-mm_percpu_wq]
     14 root     root     [kworker/u8:1-netns]
     15 root     root     [ksoftirqd/0]
     16 root     root     [rcu_preempt]
     17 root     root     [rcu_exp_par_gp_kthread_worker/0]
     18 root     root     [rcu_exp_gp_kthread_worker]
     19 root     root     [migration/0]
     20 root     root     [idle_inject/0]
     21 root     root     [cpuhp/0]
     22 root     root     [cpuhp/1]
     23 root     root     [idle_inject/1]
     24 root     root     [migration/1]
     25 root     root     [ksoftirqd/1]
     27 root     root     [kworker/1:0H-events_highpri]
     28 root     root     [kworker/u9:0-events_unbound]
     30 root     root     [kdevtmpfs]
     31 root     root     [kworker/R-inet_frag_wq]
     32 root     root     [rcu_tasks_kthread]
     33 root     root     [rcu_tasks_rude_kthread]
     34 root     root     [rcu_tasks_trace_kthread]
     35 root     root     [kauditd]
     36 root     root     [oom_reaper]
     39 root     root     [kworker/R-writeback]
     40 root     root     [kcompactd0]
     41 root     root     [ksmd]
     42 root     root     [khugepaged]
     43 root     root     [kworker/R-kblockd]
     44 root     root     [kworker/R-blkcg_punt_bio]
     45 root     root     [kworker/R-kintegrityd]
     46 root     root     [irq/9-acpi]
     47 root     root     [kworker/R-tpm_dev_wq]
     48 root     root     [kworker/R-ata_sff]
     49 root     root     [kworker/R-md_bitmap]
     50 root     root     [kworker/R-md]
     51 root     root     [kworker/R-edac-poller]
     52 root     root     [kworker/R-devfreq_wq]
     53 root     root     [watchdogd]
     54 root     root     [kworker/R-quota_events_unbound]
     56 root     root     [kworker/1:1H-kblockd]
     58 root     root     [kswapd0]
     59 root     root     [kworker/R-cryptd]
     62 root     root     [kworker/R-kthrotld]
     63 root     root     [irq/24-pciehp]
     64 root     root     [irq/25-pciehp]
     65 root     root     [irq/26-pciehp]
